MAG,contig,length,Phyllostomus discolor (080613_8),Phyllostomus discolor (080813_19),Mimon crenulatum (080813_7),Mimon crenulatum (080913_2),Phyllostomus hastatus (080913_7),Phyllostomus hastatus (080613_5),Phyllostomus hastatus (080913_8)
MAG_1,c_000000000001,51788,0,0,0,0,0,71.44774968324795,0.37938632732881616
MAG_1,c_000000000002,186194,0,0,0,0,0,69.66904932094353,0.043959971408148675
MAG_1,c_000000000003,1651544,0,0,0,0,0,70.03932569810836,0.461729507141938
MAG_1,c_000000000004,946704,8.025037936267072,1.5637329286798178,0,0,0,118.1350531107739,1.4294385432473444
MAG_1,c_000000000005,146788,0,0,0,0,0,32.62555066079295,0
MAG_1,c_000000000006,605243,0,0,0,0,0,73.95707052175827,0.4018492698319513
MAG_1,c_000000000007,808864,0,0,0,0,0,65.00260156806843,0.33057733428367786
MAG_1,c_000000000008,1289626,0,0,0,0,0,54.77664576802508,0.19827586206896552
MAG_1,c_000000000009,1186390,0,0,0,0,0,68.12731390051873,0.39036785422755876
MAG_1,c_000000000010,1131935,0,0,0,0,0,68.27450133218117,0.593648736228127
MAG_1,c_000000000011,1285659,0,0,0,0,0,47.64088397790055,0
MAG_1,c_000000000012,1628270,0,0,0,0,0,8.378143133462283,0
MAG_1,c_000000000013,497500,0,0,0,0,0,76.11836337067706,0
MAG_1,c_000000000014,647855,0,0,0,0,0,72.787196172682755,0.43443905314710685
MAG_1,c_000000000015,1640892,0,0,0,0,0,53.35205742425507,0.19389032635005427
MAG_1,c_000000000016,263554,0,0,0,0,0,29.8297213622291,0.20949432404540763
MAG_1,c_000000000017,1655214,0,0,0,0,0,306.32246376811594,1.1217391304347826
MAG_1,c_000000000018,1453416,0,0,0,0,0,71.64248199279712,0.42291916766706683
MAG_1,c_000000000019,471272,0,0,0,0,0,18.32490272373541,0.023346303501945526
MAG_1,c_000000000020,7882,0,0,0,0,0,64.28292849811837,0.19523320789143575
MAG_1,c_000000000021,1745848,0.08987459359033906,0,0,0,0,42.72642823966558,0
MAG_1,c_000000000022,471709,0,0,0,0,0,80.9973339796413,0.31919534658264664
MAG_1,c_000000000023,1097065,0,0,0,0,0,67.08753759580867,0.4276220044629863
MAG_1,c_000000000024,1515597,0,0,0,0,0,31.508028259473345,0.05095268679083708
MAG_1,c_000000000025,1603835,0,0,0,0,0,70.0018115942029,0.4811292270531401
MAG_1,c_000000000026,1566283,0,0,0,0,0,65.11030368763558,0.2622559652928417
MAG_1,c_000000000027,1510054,0,0,0,0,0,6.138115631691649,0
MAG_1,c_000000000028,479480,0,0,0,0,0,70.72420602270857,0.26542701991114037
MAG_1,c_000000000029,304840,0,0,0,0,0,67.69146883980946,0.47433171922365264
MAG_1,c_000000000030,600617,3.442811501597444,0.5319488817891374,0,0,0,74.1300319488818,0.7175718849840256
MAG_1,c_000000000031,1043099,0,0,0,0,0,66.78319884906486,0.5567023206355164
MAG_1,c_000000000032,1650419,0,0,0,0,0,68.20507193367472,0.22270990815248312
MAG_1,c_000000000033,1093419,0,0,0,0,0,70.16205714285714,0.7501714285714286
MAG_1,c_000000000034,838632,0,0,0,0,0,67.50395405761627,0.34466202221803804
MAG_1,c_000000000035,505525,0,0,0,0,0,30.79879518072289,0.21325301204819277
MAG_1,c_000000000036,436221,0,0,0,0,0,83.49575500303214,0.5036385688295937
MAG_1,c_000000000037,130756,0,0,0,0,0,68.68598411676325,0.4323889246619446
MAG_1,c_000000000038,936170,0,0,0,0,0,37.584643659383296,0
MAG_1,c_000000000039,1815001,0,0,0,0,0,66.45360678925036,0.5493163602074493
MAG_1,c_000000000040,1106579,0,0,0,0,0,68.68102734051367,0.35881599758981697
MAG_1,c_000000000041,1408940,0,0.06680369989722508,0.06372045220966084,0.6875642343268242,0,80.31243576567317,1.1109969167523124
MAG_1,c_000000000042,278624,0,0,0,0,0,65.0046545810877,0.4231994120529152
MAG_1,c_000000000043,148572,0,0,0,0,0,71.54257595207531,0.7115960633290543
MAG_1,c_000000000044,936721,0,0,0,0,0,410.8488168273444,2.5977212971078
